Name,three_pct_season,lwr_paint_pct_oct_nov,upr_paint_pct_oct_nov,mid_pct_oct_nov,three_non_cnr_pct_oct_nov,three_cnr_pct_oct_nov,ft_pct_oct_nov,lwr_paint_shots_oct_nov,upr_paint_shots_oct_nov,mid_shots_oct_nov,three_non_cnr_shots_oct_nov,three_cnr_shots_oct_nov,ft_shots_oct_nov,net_avg_pct_oct_nov
Malcolm Brogdon,0.437,0.484,0.619,0.6,0.444,0.485,0.863,62,21,10,27,33,51,0.5932009803921569
Tyrese Maxey,0.435,0.505,0.452,0.458,0.512,0.361,0.738,105,42,24,41,61,65,0.5147455621301775
Stephen Curry,0.432,0.706,0.526,0.467,0.415,0.466,0.907,109,38,30,82,148,107,0.6050564202334631
Kentavious Caldwell-Pope,0.422,0.484,0.25,0.448,0.512,0.476,0.767,31,16,29,43,42,30,0.5079267015706806
Jevon Carter,0.421,0.483,0.375,0.5,0.321,0.48,0.846,29,16,32,28,50,13,0.47614880952380956
Jalen Brunson,0.418,0.567,0.462,0.4,0.286,0.395,0.878,120,91,15,42,43,115,0.5775798122065728
Michael Porter Jr.,0.416,0.617,0.478,0.273,0.481,0.365,0.8,47,23,22,52,52,30,0.5043849557522124
Klay Thompson,0.412,0.485,0.395,0.355,0.327,0.421,0.808,33,38,31,49,121,26,0.4362147651006711
Alec Burks,0.412,0.571,0.5,0.313,0.474,0.36,0.821,14,24,16,19,25,56,0.5778181818181818
Darius Garland,0.41,0.438,0.519,0.375,0.415,0.415,0.855,73,52,32,41,65,83,0.5373323699421966
Patrick Williams,0.41,0.5,0.409,0.412,0.481,0.355,0.929,48,22,17,27,31,28,0.5202658959537573
Bojan Bogdanovic,0.409,0.568,0.619,0.481,0.456,0.338,0.87,88,63,27,57,68,108,0.5958734793187348
Tyrese Haliburton,0.407,0.596,0.359,0.588,0.347,0.391,0.85,109,39,17,49,92,60,0.5271475409836066
Jamal Murray,0.406,0.5,0.366,0.5,0.464,0.345,0.783,84,41,44,28,55,46,0.4932583892617449
Kevin Durant,0.404,0.74,0.606,0.472,0.26,0.439,0.923,96,170,72,50,57,183,0.6607898089171974
Jerami Grant,0.403,0.545,0.39,0.361,0.476,0.475,0.765,112,41,36,63,61,132,0.5617280898876404
Kevin Huerter,0.403,0.673,0.421,0.286,0.418,0.48,0.681,52,19,14,67,75,47,0.5219416058394161
D'Angelo Russell,0.399,0.614,0.418,0.5,0.262,0.361,0.759,57,55,24,42,83,54,0.482352380952381
Andrew Wiggins,0.396,0.634,0.452,0.36,0.4,0.443,0.692,101,31,25,45,88,39,0.5198115501519757
Norman Powell,0.395,0.546,0.4,0.389,0.4,0.326,0.78,97,25,18,45,46,82,0.5332907348242811
Lauri Markkanen,0.394,0.685,0.486,0.5,0.444,0.369,0.822,146,37,16,63,84,101,0.5995123042505592
De'Anthony Melton,0.391,0.441,0.444,0.636,0.349,0.359,0.667,68,18,11,43,64,21,0.43096
Cory Joseph,0.391,0.5,0.5,0.3,0.308,0.5,0.643,20,18,10,13,14,14,0.47197752808988763
Jrue Holiday,0.39,0.594,0.333,0.417,0.406,0.29,0.875,96,33,24,32,62,40,0.5017177700348432
Tobias Harris,0.39,0.573,0.475,0.4,0.4,0.313,0.825,117,40,10,55,48,40,0.5163387096774193
Brandon Ingram,0.389,0.491,0.492,0.341,0.48,0.464,0.868,53,65,41,25,28,76,0.5657777777777778
Donovan Mitchell,0.388,0.664,0.453,0.391,0.449,0.42,0.885,107,53,46,49,119,113,0.5852751540041068
Devin Vassell,0.387,0.509,0.491,0.486,0.524,0.356,0.796,55,55,37,42,73,54,0.518867088607595
OG Anunoby,0.387,0.61,0.281,0.292,0.314,0.396,0.847,159,32,24,51,48,72,0.5414404145077719
Kristaps Porzingis,0.387,0.609,0.5,0.261,0.411,0.364,0.795,110,66,23,56,66,127,0.5669598214285714
AJ Griffin,0.387,0.7,0.542,0.333,0.333,0.395,1.0,20,24,12,27,38,7,0.4844140625000001
CJ McCollum,0.386,0.468,0.452,0.425,0.265,0.35,0.794,79,62,40,34,80,34,0.443775075987842
Nikola Jokic,0.386,0.693,0.516,0.9,0.263,0.353,0.847,153,31,10,19,17,111,0.692199413489736
James Harden,0.385,0.514,0.455,0.692,0.294,0.385,0.929,37,33,13,34,26,56,0.5781859296482412
Mikal Bridges,0.384,0.649,0.484,0.3,0.463,0.367,0.875,94,64,10,41,30,48,0.5817944250871081
Kyrie Irving,0.381,0.583,0.64,0.533,0.368,0.29,0.914,84,50,30,57,69,58,0.548735632183908
Monte Morris,0.381,0.547,0.474,0.35,0.304,0.394,0.714,53,19,20,23,33,21,0.47328402366863903
Tyler Herro,0.38,0.617,0.436,0.35,0.366,0.316,0.878,60,39,20,41,57,41,0.504031007751938
Myles Turner,0.38,0.663,0.692,0.0,0.455,0.333,0.808,89,13,10,33,24,78,0.6236194331983805
Anfernee Simons,0.378,0.552,0.436,0.371,0.333,0.396,0.882,96,39,35,54,159,76,0.5031786492374728
Christian Wood,0.377,0.651,0.556,0.308,0.4,0.4,0.671,109,18,13,25,35,76,0.5795905797101449
Cameron Payne,0.376,0.462,0.386,0.429,0.533,0.339,0.771,65,57,14,30,56,35,0.4669143968871595
Brook Lopez,0.375,0.693,0.44,0.417,0.444,0.365,0.8,75,25,12,54,63,40,0.5462825278810408
Paul George,0.374,0.636,0.417,0.429,0.392,0.362,0.852,77,48,42,51,69,81,0.5461630434782608
Zach LaVine,0.373,0.541,0.32,0.355,0.295,0.357,0.827,98,25,31,44,84,75,0.4958431372549019
Bobby Portis,0.373,0.616,0.481,0.375,0.205,0.5,0.778,86,54,16,44,32,27,0.5056988416988417
Damian Lillard,0.372,0.593,0.417,0.412,0.273,0.364,0.875,59,12,17,33,77,96,0.5715374149659863
Anthony Edwards,0.371,0.607,0.333,0.321,0.411,0.308,0.766,163,21,28,56,91,107,0.5320343347639485
Tyus Jones,0.371,0.581,0.5,0.2,0.391,0.362,0.636,31,70,10,23,58,22,0.4625794392523364
Gary Trent Jr.,0.37,0.614,0.514,0.308,0.327,0.333,0.767,57,35,39,49,75,73,0.4938689024390243
Lonnie Walker IV,0.368,0.578,0.462,0.5,0.324,0.386,0.844,102,13,16,34,57,45,0.5391760299625468
Immanuel Quickley,0.368,0.561,0.361,0.364,0.3,0.265,0.87,41,36,11,30,49,46,0.4789014084507042
Marcus Morris Sr.,0.367,0.727,0.426,0.556,0.25,0.446,0.742,33,61,36,36,74,31,0.4981512915129152
Will Barton,0.367,0.426,0.304,0.421,0.25,0.372,0.875,54,23,19,32,43,24,0.4255948717948718
